id,distance,azimuth,dbh,ba,species,height angle,cc,notes,subplot,entry,,,,,
87,7.45,212,18.0,254.34,acsa,61,I,"oval tag, in gap",8,12,,,,,
280,6.75,85,17.4,237.6666,acsa,66,C,has sensor,2,4,,,,,
160,9.25,198,17.0,226.865,acsa,55,C,unhealthy,13,16,,,,,
1738,9.95,38,17.0,226.865,acsa,66,I,"dbh is below breast height, in gap",16,4,,,,,
1508,7.15,199,16.8,221.5584,acsa,68,C,,4,10,,,,,
174,5.15,321,16.4,211.1336,acsa,69,I,,15,20,,,,,
157,4.75,167,16.3,208.56665,acsa,76,C,,13,13,,,,,
108,6.60,167,16.0,200.96,acsa,68,I,,4,7,,,,,
1581,2.60,317,15.8,195.9674,acsa,80,I,in gap,5,20,,,,,
477,4.20,212,15.5,188.59625,acsa,66,I,in gap,5,15,,,,,
133,2.35,101,15.3,183.76065,acsa,84,I,Also 582,7,12,,,,,
86,4.40,171,15.2,181.3664,acsa,74,I,new tag,8,10,,,,,
321,7.10,229,15.0,176.625,acsa,54,I,,2,9,,,,,
149,7.35,349,15.0,176.625,acsa,60,I,,11,15,,,,,
163,3.75,223,15.0,176.625,acsa,74,C,,13,19,,,,,
69,8.60,235,14.9,174.27785,acsa,59,I,new tag,1,14,,,,,
1734,7.00,90,14.6,167.3306,acsa,68,I,in gap,16,8,,,,,
377,10.00,331,14.4,162.7776,acsa,51,I,BB 607,5,21,,,,,
32,3.75,34,14.0,153.86,acsa,72,I,"Also 579, 2733",7,17,,,,,
575,8.55,127,13.9,151.66985,acsa,69,S,dying,15,10,,,,,
88,9.55,141,13.7,147.33665,acsa,54,I,"new tag, same tree as 89",8,8,,,,,
206,3.80,37,13.5,143.06625,acsa,71,C,,10,3,,,,,
72,6.95,17,13.4,140.9546,acsa,56,I,new tag,1,4,,,,,
110,8.80,186,13.4,140.9546,acsa,59,I,,4,8,,,,,
860,9.60,200,13.3,138.85865,acsa,44,I,,12,11,,,,,
82,3.00,72,13.2,136.7784,acsa,78,I,"new tag, in gap",4,3,,,,,
168,9.90,218,13.2,136.7784,acsa,51,I,,11,8,,,,,
64,9.90,310,13.0,132.665,acsa,46,I,new tag,1,20,,,,,
293,9.85,282,13.0,132.665,acsa,48,I ,,2,16,,,,,
153,9.40,87,13.0,132.665,acsa,61,I,,10,8,,,,,
1590,8.25,23,12.9,130.63185,acsa,53,I,,5,2,,,,,
337,9.25,179,12.7,126.61265,acsa,38,I,in small gap,6,9,,,,,
153,9.80,288,12.7,126.61265,acsa,54,S,,11,12,,,,,
1587,2.35,9,12.7,126.61265,acsa,79,C,also an eaten id,13,1,,,,,
68,9.60,275,12.5,122.65625,acsa,54,I,new tag,1,15,,,,,
1728,5.95,157,12.5,122.65625,acsa,74,I,in gap,16,14,,,,,
172,9.35,272,12.2,116.8394,acsa,54,C,,13,28,,,,,
198,5.10,202,12.1,114.93185,acsa,53,I,,10,13,,,,,
1739,7.25,37,12.0,113.04,acsa,64,S,in gap,16,3,,,,,
203,4.35,121,11.8,109.3034,acsa,58,I,,10,9,,,,,
610,7.35,221,11.6,105.6296,acsa,52,I,,1,11,,,,,
1727,3.55,176,11.6,105.6296,acsa,73,S,in gap,16,15,,,,,
70,8.80,229,11.5,103.81625,acsa,53,I,new tag,1,13,,,,,
853,3.85,65,11.5,103.81625,acsa,66,I,,12,4,,,,,
150,1.85,49,11.5,103.81625,acsa,83,C,,13,3,,,,,
2769,3.40,32,11.3,100.23665,acsa,74,I,,14,2,,,,,
102,9.05,322,11.2,98.4704,acsa,62,I,oval tag,8,20,,,,,
155,9.20,154,11.2,98.4704,acsa,47,I,,13,11,,,,,
65,8.30,154,11.1,96.71985,acsa,47,S,Also 2706,11,6,,,,,
93,6.40,247,11.0,94.985,acsa,62,S,oval tag,8,15,,,,,
177,6.50,39,10.9,93.26585,acsa,64,S,,15,3,,,,,
139,7.35,355,10.8,91.5624,acsa,61,S,partially eaten tag,10,22,,,,,
70,8.25,80,10.6,88.2026,acsa,46,I,,11,3,,,,,
116,9.30,149,10.4,84.9056,acsa,46,S,"also 2729, 595",3,3,,,,,
119,7.75,54,10.2,81.6714,acsa,59,S,"Also 583, 2732",7,16,,,,,
179,9.95,350,10.2,81.6714,acsa,49,I,,13,37,,,,,
166,9.90,349,10.2,81.6714,acsa,50,S,,15,21,,,,,
854,2.60,85,10.1,80.07785,acsa,70,S,,12,5,,,,,
142,9.55,191,10.0,78.5,acsa,48,I,,7,9,,,,,
159,6.65,184,10.0,78.5,acsa,64,C,,13,15,,,,,
578,3.05,147,10.0,78.5,acsa,77,S,,15,12,,,,,
130,7.50,80,9.9,76.93785,acsa,53,S,Also 592,7,15,,,,,
89,9.65,222,9.9,76.93785,acsa,39,S,oval tag,8,14,,,,,
205,1.75,86,9.9,76.93785,acsa,73,C,,10,6,,,,,
143,10.00,197,9.8,75.3914,acsa,39,I,Also in light gap,7,8,,,,,
2765,7.95,65,9.8,75.3914,acsa,52,I,"also 388, unhealthy",13,5,,,,,
1737,9.35,70,9.8,75.3914,acsa,-,S,sideways,16,5,,,,,
2772,5.95,349,9.4,69.3626,acsa,51,I,also 192,14,20,,,,,
577,4.45,128,9.4,69.3626,acsa,52,S,,15,11,,,,,
137,3.40,281,9.4,69.3626,acsa,72,I,,16,21,,,,,
1735,4.70,81,9.3,67.89465,acsa,72,S,in gap,16,7,,,,,
572,8.05,337,9.2,66.4424,acsa,54,S,BB 604,5,22,,,,,
176,5.70,295,9.1,65.00585,acsa,63,C,,13,32,,,,,
574,9.75,125,9.1,65.00585,acsa,11,S,sideways,15,9,,,,,
67,2.25,276,9.0,63.585,acsa,74,S,new tag,1,16,,,,,
193,8.10,23,9.0,63.585,acsa,40,S,also 2771,14,1,,,,,
148,4.15,210,9.0,63.585,acsa,53,I,,14,11,,,,,
851,4.70,3,8.8,60.7904,acsa,44,S,,12,2,,,,,
460,8.50,189,8.7,59.41665,acsa,44,S,dying,5,14,,,,,
217,6.80,222,8.6,58.0586,acsa,22,I,In light gap,7,6,,,,,
1725,2.55,215,8.6,57.3854625,acsa,75,S,,16,17,,,,,
573,5.70,115,8.4,55.3896,acsa,43,S,sideways,15,8,,,,,
2747,9.15,62,8.3,54.07865,acsa,44,S,also BB603,5,3,,,,,
857,9.50,188,8.3,54.07865,acsa,34,S,,12,8,,,,,
50,8.40,104,8.3,54.07865,acsa,55,S,,15,7,,,,,
94,1.30,54,8.2,52.7834,acsa,83,I,new tag,8,2,,,,,
132,4.75,86,8.0,50.24,acsa,60,S,Also 581,7,14,,,,,
2764,9.15,54,8.0,50.24,acsa,55,I,also 394,13,4,,,,,
161,6.15,206,8.0,50.24,acsa,58,I,,13,17,,,,,
165,3.65,235,8.0,50.24,acsa,63,C,,13,21,,,,,
168,3.15,237,8.0,50.24,acsa,77,I,,13,24,,,,,
1742,8.20,225,8.0,50.24,acsa,52,S,,15,18,,,,,
63,8.80,348,7.9,48.99185,acsa,41,S,new tag,1,22,,,,,
81,8.35,135,7.9,48.99185,acsa,42,S,new tag,4,4,,,,,
2709,6.15,287,7.9,48.99185,acsa,51,S,Also 71,12,14,,,,,
1730,7.05,149,7.9,48.99185,acsa,52,S,,16,12,,,,,
98,6.45,292,7.8,47.7594,acsa,62,S,oval tag,8,18,,,,,
151,4.20,84,7.8,47.7594,acsa,69,I,,13,7,,,,,
162,7.05,219,7.8,47.7594,acsa,61,I,,13,18,,,,,
169,4.10,247,7.7,46.54265,acsa,64,C,,13,25,,,,,
164,8.00,225,7.5,44.15625,acsa,52,I,,13,20,,,,,
1729,8.40,155,7.4,42.9866,acsa,49,S,in gap,16,13,,,,,
1743,9.20,216,7.3,41.83265,acsa,38,S,dying,15,14,,,,,
856,1.20,154,7.2,40.6944,acsa,75,S,,12,7,,,,,
152,8.55,79,7.1,39.57185,acsa,38,S,,10,5,,,,,
347,5.60,285,7.1,39.57185,acsa,20,S,top broken off,10,17,,,,,
174,9.40,288,7.0,38.465,acsa,44,S,,13,30,,,,,
165,9.70,15,6.9,37.37385,acsa,47,S,dying,15,2,,,,,
92,8.45,84,6.8,36.2984,acsa,42,S,new tag,8,4,,,,,
182,2.75,235,6.8,36.2984,acsa,62,S,,15,17,,,,,
207,9.10,60,6.7,35.23865,acsa,22,S,,10,4,,,,,
67,7.90,122,6.7,35.23865,acsa,36,S,Also 2707,11,5,,,,,
180,8.80,356,6.7,35.23865,acsa,39,S,,13,38,,,,,
1733,7.20,109,6.7,35.23865,acsa,40,S,in gap,16,9,,,,,
53,6.90,280,6.7,35.23865,acsa,51,S,,16,20,,,,,
90,5.50,88,6.6,34.1946,acsa,48,S,new tag,8,6,,,,,
175,3.25,294,6.6,34.1946,acsa,68,I,,13,31,,,,,
141,6.00,337,6.5,33.16625,acsa,44,S,,16,25,,,,,
323,8.60,232,6.4,32.1536,acsa,28,S,,2,11,,,,,
178,5.00,294,6.4,32.1536,acsa,58,I,,13,34,,,,,
342,4.60,351,6.3,31.15665,acsa,60,S,,10,21,,,,,
89,9.75,40,6.2,30.1754,acsa,40,S,new tag,4,1,,,,,
375,8.00,284,6.2,30.1754,acsa,42,S,,14,15,,,,,
136,4.65,278,6.2,30.1754,acsa,49,S,,16,19,,,,,
200,3.40,221,6.1,29.20985,acsa,57,S,,10,14,,,,,
149,7.60,11,6.0,28.26,acsa,43,I,,13,2,,,,,
154,2.45,149,5.9,27.32585,acsa,67,I,,13,10,,,,,
861,8.75,355,5.8,26.4074,acsa,31,S,,12,18,,,,,
158,9.95,181,5.8,26.4074,acsa,41,S,,13,14,,,,,
859,4.30,192,5.7,25.50465,acsa,49,S,,12,10,,,,,
188,1.45,172,5.7,25.50465,acsa,66,S,,14,10,,,,,
140,4.45,327,5.5,23.74625,acsa,46,S,,16,24,,,,,
181,4.55,356,5.4,22.8906,acsa,58,I,,13,39,,,,,
2716,8.25,309,5.3,22.05065,acsa,24,S,,12,15,,,,,
170,1.55,250,5.3,22.05065,acsa,79,S ,,13,26,,,,,
2776,7.70,296,5.2,21.2264,acsa,44,I,,14,16,,,,,
2779,2.70,280,5.0,19.625,acsa,46,S,,14,14,,,,,
366,9.95,311,5.0,19.625,acsa,36,S,,14,18,,,,,
181,5.20,264,5.0,19.625,acsa,43,S,dying,15,19,,,,,
1732,2.90,135,5.0,19.625,acsa,63,S,,16,10,,,,,
620,9.35,280,85.0,5671.625,beal,71,D,44,3,10,,,,,
17,4.45,225,71.8,4046.8634,beal,83,D,,15,16,,,,,
41,4.95,286,71.1,3968.33985,beal,81,D,,7,4,,,,,
1596,4.75,273,60.3,2854.33065,beal,81,D,also 2767,14,13,,,,,
28,1.15,343,57.6,2604.4416,beal,89,C,Also 2714,12,17,,,,,
225,6.85,175,55.8,2444.2074,beal,75,D,"sensor, also 586 &2720",3,4,,,,,
16,2.50,173,41.3,1338.96665,beal,85,D,,10,11,,,,,
14,7.95,192,25.3,502.47065,beal,58,C,,10,12,,,,,
35,7.35,22,25.0,490.625,beal,66,C,,10,1,,,,,
617,2.30,0,28.3,628.69865,osvi,84,C,,1,1,,,,,
95,8.95,34,21.7,369.64865,osvi,59,I,new tag,8,1,,,,,
196,2.70,136,18.3,262.88865,osvi,77,C,,1,8,,,,,
93,7.55,60,17.6,243.1616,osvi,62,I,new tag,8,3,,,,,
100,3.10,327,17.3,234.94265,osvi,81,I,"oval tag, in gap",8,21,,,,,
1740,3.80,11,17.2,232.2344,osvi,77,I,in gap,16,2,,,,,
226,5.90,229,17.0,226.865,osvi,66,S,"in gap, also 2727 & 682",3,8,,,,,
74,3.90,346,16.6,216.3146,osvi,71,S,"new tag, in gap",4,14,,,,,
1736,1.75,81,16.2,206.0154,osvi,80,I,in gap,16,6,,,,,
343,5.45,324,15.9,198.45585,osvi,67,C,,10,19,,,,,
171,6.55,264,14.3,160.52465,osvi,66,C,,13,27,,,,,
1726,9.75,179,14.0,153.86,osvi,57,I,in gap,16,16,,,,,
153,7.60,134,13.7,147.33665,osvi,61,C,,13,9,,,,,
167,7.90,236,13.5,143.06625,osvi,59,C,,13,23,,,,,
138,6.25,292,13.1,134.71385,osvi,61,I,,16,22,,,,,
222,9.95,204,12.7,126.61265,osvi,52,I,"2725, 587",3,6,,,,,
1731,9.65,135,12.2,116.8394,osvi,54,I,in gap,16,11,,,,,
218,8.05,251,11.6,105.6296,osvi,45,I,"Also 576, in gap by flux tower",7,5,,,,,
612,3.50,191,11.5,103.81625,osvi,73,I,new tag - 71,1,10,,,,,
177,4.85,296,11.5,103.81625,osvi,67,C,,13,33,,,,,
348,7.85,260,10.5,86.54625,osvi,51,I,,10,15,,,,,
2773,10.00,300,10.2,81.6714,osvi,47,I,also 377,14,17,,,,,
161,8.85,127,10.1,80.07785,osvi,44,I,,10,10,,,,,
166,7.90,235,9.8,75.3914,osvi,58,C,,13,22,,,,,
239,6.30,125,8.2,52.7834,osvi,54,S,,5,9,,,,,
2744,9.35,89,7.0,38.465,osvi,42,S,BB602,5,6,,,,,
242,4.00,134,6.8,36.2984,osvi,62,S,,5,11,,,,,
238,3.60,116,6.4,32.1536,osvi,69,S,,5,8,,,,,
370,7.95,166,6.1,29.20985,osvi,41,S,,5,12,,,,,
241,8.40,125,6.0,28.26,osvi,47,S,,5,10,,,,,
155,4.90,297,5.9,27.32585,osvi,39,S,,11,13,,,,,
1741,3.55,3,5.9,27.32585,osvi,70,S,,16,1,,,,,
143,8.85,295,5.7,25.50465,osvi,36,S,,10,18,,,,,
371,7.30,173,5.2,21.2264,osvi,42,S,,5,13,,,,,
372,9.30,234,5.1,20.41785,osvi,30,S,,5,16,,,,,
87,5.65,148,5.1,20.41785,osvi,41,S,new tag,8,9,,,,,
96,6.65,279,5.0,19.625,osvi,46,S,oval tag,8,17,,,,,
290,5.20,355,59.1,2741.85585,tsca,80,D,,2,17,,,,,
40,9.95,66,57.6,2604.4416,tsca,68,D,sensor,6,2,,,,,
26,5.35,54,54.9,2365.99785,tsca,78,C,"Also 2711, old sensor",11,2,,,,,
1600,8.25,89,45.7,1639.46465,tsca,64,C,,14,5,,,,,
1510,5.90,236,40.5,1287.59625,tsca,68,C,"Also 2708, old sensor",12,12,,,,,
278,9.15,303,40.2,1268.5914,tsca,63,I,,3,12,,,,,
2701,9.30,237,37.3,1092.16265,tsca,62,C,Also 1502,12,13,,,,,
77,5.15,241,36.7,1057.30865,tsca,73,I,new tag,4,11,,,,,
334,0.85,3,36.5,1045.81625,tsca,-,I,too close and slanted behind center,6,14,,,,,
39,9.35,82,36.4,1040.0936,tsca,61,I,can't really see the top,6,3,,,,,
147,6.45,156,33.3,870.47865,tsca,71,C,,14,9,,,,,
38,8.30,83,31.9,798.82385,tsca,62,C,can't really see the top,6,4,,,,,
45,9.35,86,30.6,735.0426,tsca,58,I,,2,5,,,,,
187,7.15,103,29.4,678.5226,tsca,68,I,,14,7,,,,,
42,5.50,350,26.5,551.26625,tsca,71,C,,7,1,,,,,
42,5.50,347,26.4,547.1136,tsca,66,C,"Also 581, 2723",7,18,,,,,
219,7.50,103,25.6,514.4576,tsca,63,C,can't really see the top,6,6,,,,,
326,6.20,14,25.5,510.44625,tsca,65,I,in gap,6,1,,,,,
36,9.05,23,24.8,482.8064,tsca,46,I,,10,2,,,,,
101,7.90,321,23.1,418.88385,tsca,63,I,oval tag,8,19,,,,,
75,8.30,234,22.9,411.66185,tsca,51,I,,11,10,,,,,
146,9.75,152,22.2,386.8794,tsca,53,C,,14,8,,,,,
1573,8.35,344,21.4,359.4986,tsca,57,C,"Also 588, 2722",7,2,,,,,
223,8.75,187,19.2,289.3824,tsca,54,S,"sensor, also 584 & 2721",3,5,,,,,
43,9.30,333,13.0,132.665,tsca,24,S,"Also 589, 2724",7,3,,,,,
92,9.10,261,62.3,3046.81265,uk,81,D,oval tag,8,16,,,,,
611,6.80,222,31.2,764.1504,uk,72,C,,1,12,,,,,
618,6.50,282,24.0,452.16,uk,69,C,,1,17,,,,,
616,4.75,14,17.8,248.7194,uk,66,S,may be dead,1,2,,,,,
73,4.85,15,12.0,113.04,uk,69,I,new tag,1,3,,,,,
